ID,Category,Clause / Finding Description,Violation Type,Relevant Law / Statute,Label,Source Name,Source URL,Notes
L3_1,Loan App / Fintech,The app processes applicant personal data without providing itemised prior notice of data categories collected.,Unconsented data processing,DPDP Act 2023,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §5 (Notice)
L3_2,Loan App / Fintech,The app processes applicant personal data without providing itemised prior notice of data categories collected. Applicable across all digital channels.,Unconsented data processing,DPDP Act 2023,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §5 (Notice)
L3_3,Loan App / Fintech,The app processes applicant personal data without providing itemised prior notice of data categories collected. Pursuant to updated statutory terms.,Unconsented data processing,DPDP Act 2023,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §5 (Notice)
L3_4,Loan App / Fintech,The app processes applicant personal data without providing itemised prior notice of data categories collected. Subject to regulatory audit.,Unconsented data processing,DPDP Act 2023,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §5 (Notice)
L3_5,Loan App / Fintech,The app processes applicant personal data without providing itemised prior notice of data categories collected. Enforced in all operating regions.,Unconsented data processing,DPDP Act 2023,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §5 (Notice)
L3_6,Loan App / Fintech,"Prior to onboarding, the platform presents a clear, itemised notice detailing exact personal data requested and specific processing purposes.",Compliant data notice,DPDP Act 2023,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §5 (Notice)
L3_7,Loan App / Fintech,"Prior to onboarding, the platform presents a clear, itemised notice detailing exact personal data requested and specific processing purposes. Applicable across all digital channels.",Compliant data notice,DPDP Act 2023,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §5 (Notice)
L3_8,Loan App / Fintech,"Prior to onboarding, the platform presents a clear, itemised notice detailing exact personal data requested and specific processing purposes. Pursuant to updated statutory terms.",Compliant data notice,DPDP Act 2023,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §5 (Notice)
L3_9,Loan App / Fintech,"Prior to onboarding, the platform presents a clear, itemised notice detailing exact personal data requested and specific processing purposes. Subject to regulatory audit.",Compliant data notice,DPDP Act 2023,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §5 (Notice)
L3_10,Loan App / Fintech,"Prior to onboarding, the platform presents a clear, itemised notice detailing exact personal data requested and specific processing purposes. Enforced in all operating regions.",Compliant data notice,DPDP Act 2023,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §5 (Notice)
L3_11,Loan App / Fintech,User financial data collected for underwriting may be shared with third-party marketing networks without separate explicit consent.,Scope expansion without consent,DPDP Act 2023,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §6 (Purpose Limitation)
