id,layer,category,text,violation_type,law_statute,label,source_name,source_url,notes,needs_human_review
L1_1870,1,General Terms of Service,"9.4 for experiences , events and other host services , if inclement weather creates an unsafe or uncomfortable scenario for guests , hosts may modify or cancel a host service . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1221,1,General Terms of Service,"you may deactivate your account with our service at any time , for any reason ( or no reason ) . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1795,1,General Terms of Service,"• when you use the consumer seller listing tool to create listings , your fixed-price listings may renew automatically every 30 days , based on the listing terms at that time , until the quantities sell out or until you cancel the listing . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_764,1,General Terms of Service,"copy , use , disclose or distribute any information obtained from the services , whether directly or through third parties ( such as search engines ) , without the consent of linkedin ; ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1769,1,General Terms of Service,your misuse of the trademarks displayed on the products is strictly prohibited . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1960,1,General Terms of Service,"crowdtangle makes no warranties , express or implied , with respect to such third party products , including software . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_99,1,General Terms of Service,"as used in this agreement , references to a determination made in linden lab 's discretion means that the determination will be made by linden lab in accordance with its good faith business judgment . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_419,1,General Terms of Service,"in any jurisdiction in which we decide to facilitate direct collection and remittance , you hereby instruct and authorize airbnb ( via airbnb payments ) to collect occupancy taxes from guests on the host 's behalf at the time listing fees are collected , and to remit such occupancy taxes to the tax authority . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L4_42,4,Gig Contract,Supplementary Term: Account suspension shall not be enacted without prior formal communication detailing observed non-compliance and offering a 14-day appeal period. as updated in statutory terms.,Compliant deactivation protocol,Karnataka Gig Worker Act 2025,Low-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review,True
L1_1798,1,General Terms of Service,2.2 linden lab grants you certain licenses to access and use the service while you are in compliance with the terms ; additional terms may apply . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
