ID,Category,Clause / Finding Description,Violation Type,Relevant Law / Statute,Label,Source Name,Source URL,Notes
L1_1,General Terms of Service,"in no event will academia.edu 's aggregate liability arising out of or in connection with these terms or from the use of or inability to use the site , services or collective content exceed the greater of fifty dollars ( $ 50 ) and subscription fees paid by you during the 12 month period before the act giving rise to the liability . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_2,General Terms of Service,the licenses granted by amazon terminate if you do not comply with these conditions of use or any service terms . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_3,General Terms of Service,"we reserve the right to make changes to our site , policies , service terms , and these conditions of use at any time . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_4,General Terms of Service,"while we 're not required to do so , we may access , review , screen , and delete your content at any time and for any reason , including if we think your content violates these terms . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_5,General Terms of Service,"we encourage you to give the privacy policy a careful look because , by using our services , you agree that your information may be collected and processed by snap group limited in the uk and snap inc. in the u.s. , as well as their affiliates , and transferred outside of the country in which you reside , including to countries that may not have the same data-protection laws as your country . ",Unfair Contract Terms,CLAUDETTE Benchmark (Unfair TOS),High-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_6,General Terms of Service,the laws of england and wales govern these terms and any claims and disputes ( whether contractual or otherwise ) arising out of or relating to these terms or their subject matter . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_7,General Terms of Service,"we both agree that all of these claims can only be litigated in dublin , ireland , and we each agree to personal jurisdiction of the courts located in dublin , ireland . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_8,General Terms of Service,"any dispute or claim relating in any way to these terms and conditions or the service will be resolved by binding arbitration , rather than in court , except for duolingo 's right to seek injunctive relief as set forth below . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_9,General Terms of Service,"a statement by you , made under penalty of perjury , that the above information in your notice is accurate and that you are the copyright owner or are authorized to act on the copyright owner 's behalf . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_10,General Terms of Service,you can control most communications from the services . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_11,General Terms of Service,"subject to your compliance with these terms , uber grants you a limited , non-exclusive , non-sublicensable , revocable , non-transferrable license to : ( i ) access and use the applications on your personal device solely in connection with your use of the services ; and ( ii ) access and use any content , information and related materials that may be made available through the services , in each case solely for your personal , noncommercial use . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_12,General Terms of Service,"if that happens , the separate agreement shall take precedence if there is a conflict between those terms and this terms of service document , to the extent of such conflict and with respect to the particular subject matter of that separate agreement . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_13,General Terms of Service,you will not share your password . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_14,General Terms of Service,a form for initiating arbitration proceedings is available on the aaa 's site at www.adr.org . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
