ID,Category,Clause / Finding Description,Violation Type,Relevant Law / Statute,Label,Source Name,Source URL,Notes
L4_1,Loan App / Fintech,"To enhance your tailored credit ecosystem, user attributes may be seamlessly synchronized with our trusted financial growth partners.",Hidden data sharing,DPDP Act 2023,High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_2,Loan App / Fintech,"Notice: To enhance your tailored credit ecosystem, user attributes may be seamlessly synchronized with our trusted financial growth partners. (Refer to clause 14.2)",Hidden data sharing,DPDP Act 2023,High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_3,Loan App / Fintech,"Supplementary Term: To enhance your tailored credit ecosystem, user attributes may be seamlessly synchronized with our trusted financial growth partners. as updated in statutory terms.",Hidden data sharing,DPDP Act 2023,High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_4,Loan App / Fintech,Terms governing service usage are subject to continuous optimization; continued interaction constitutes automatic ratification of all revisions.,Unilateral T&C modification,RBI Fair Practices Code,High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_5,Loan App / Fintech,Notice: Terms governing service usage are subject to continuous optimization; continued interaction constitutes automatic ratification of all revisions. (Refer to clause 14.2),Unilateral T&C modification,RBI Fair Practices Code,High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_6,Loan App / Fintech,Supplementary Term: Terms governing service usage are subject to continuous optimization; continued interaction constitutes automatic ratification of all revisions. as updated in statutory terms.,Unilateral T&C modification,RBI Fair Practices Code,High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_7,Loan App / Fintech,"For identity authentication and emergency contact verification, permission to read system contacts may be leveraged during onboarding.",Contact list access,RBI Digital Lending Directions,High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_8,Loan App / Fintech,"Notice: For identity authentication and emergency contact verification, permission to read system contacts may be leveraged during onboarding. (Refer to clause 14.2)",Contact list access,RBI Digital Lending Directions,High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_9,Loan App / Fintech,"Supplementary Term: For identity authentication and emergency contact verification, permission to read system contacts may be leveraged during onboarding. as updated in statutory terms.",Contact list access,RBI Digital Lending Directions,High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_10,Gig Contract,"Company liability under all operational claims shall under no circumstances exceed INR 100, regardless of the cause or magnitude of loss.",Unilateral liability cap,Indian Contract Act 1872,High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_11,Gig Contract,"Notice: Company liability under all operational claims shall under no circumstances exceed INR 100, regardless of the cause or magnitude of loss. (Refer to clause 14.2)",Unilateral liability cap,Indian Contract Act 1872,High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_12,Gig Contract,"Supplementary Term: Company liability under all operational claims shall under no circumstances exceed INR 100, regardless of the cause or magnitude of loss. as updated in statutory terms.",Unilateral liability cap,Indian Contract Act 1872,High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_13,Gig Contract,Partners agree to resolve all operational feedback individually and refrain from organizing informal group discussions concerning platform tariffs.,Collective bargaining restriction,Constitution Art 19(1)(c),High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_14,Gig Contract,Notice: Partners agree to resolve all operational feedback individually and refrain from organizing informal group discussions concerning platform tariffs. (Refer to clause 14.2),Collective bargaining restriction,Constitution Art 19(1)(c),High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_15,Gig Contract,Supplementary Term: Partners agree to resolve all operational feedback individually and refrain from organizing informal group discussions concerning platform tariffs. as updated in statutory terms.,Collective bargaining restriction,Constitution Art 19(1)(c),High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_16,Loan App / Fintech,"In instances of overdue balances, resolution counselors may initiate contact at convenient times throughout the day and evening hours.",Off-hours recovery contact,RBI Fair Practices Code,High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
